GeneSymbol	LNCaP_R1881_1	LNCaP_R1881_2	LNCaP_Dox_2	LNCaP_Dox_1	LNCaP_Vehicle_1	LNCaP_Vehicle_2
DDX11L1	0.0	0.012672149	0.037951926	0.019178513	0.0	0.030590979
WASH7P	5.12053104	5.220925556	5.740228829	6.022052969	5.467889102	4.761995716
MIR6859-1	0.495172232	0.532230275	0.464911095	0.623301661	0.351350304	0.560834613
RP11-34P13.3	0.0	0.012672149	0.018975963	0.009589256	0.010979697	0.0
MIR1302-2	0.0	0.0	0.0	0.0	0.0	0.0
FAM138A	0.0	0.0	0.0	0.0	0.010979697	0.0
OR4G4P	0.0	0.0	0.0	0.0	0.0	0.0
OR4G11P	0.0	0.0	0.0	0.0	0.0	0.0
OR4F5	0.0	0.0	0.0	0.0	0.0	0.0
RP11-34P13.7	0.045015657	0.050688598	0.047439908	0.028767769	0.021959394	0.061181958
RP11-34P13.8	0.0	0.0	0.0	0.0	0.0	0.0
CICP27	0.022507829	0.038016448	0.009487982	0.028767769	0.065878182	0.030590979
RP11-34P13.15	0.090031315	0.126721494	0.037951926	0.038357025	0.131756364	0.112166923
RP11-34P13.16	0.135046972	0.126721494	0.037951926	0.10548182	0.252533031	0.326303775
RP11-34P13.14	0.033761743	0.012672149	0.0	0.0	0.0	0.010196993
RP11-34P13.13	0.202570459	0.266115138	0.161295686	0.268499177	0.21959394	0.254924824
RNU6-1100P	0.0	0.0	0.0	0.0	0.0	0.0
RP11-34P13.9	0.0	0.0	0.0	0.0	0.0	0.0
FO538757.3	0.011253914	0.012672149	0.018975963	0.047946282	0.021959394	0.020393986
FO538757.2	0.303855688	0.329475885	0.502863021	0.498641329	0.395269092	0.356894754
AP006222.2	0.866551407	1.0771327	0.853918338	0.949336376	0.823477274	0.968714332
RPL23AP21	0.0	0.0	0.0	0.0	0.0	0.0
RPL23AP24	0.0	0.0	0.0	0.0	0.0	0.0
RP5-857K21.15	0.0	0.0	0.0	0.0	0.0	0.0
RP4-669L17.2	0.0	0.0	0.0	0.0	0.0	0.0
RP4-669L17.10	0.090031315	0.076032896	0.037951926	0.076714051	0.065878182	0.010196993
WBP1LP7	0.0	0.0	0.0	0.0	0.0	0.0
OR4F29	0.0	0.0	0.0	0.0	0.0	0.0
SEPT14P13	0.0	0.0	0.0	0.0	0.0	0.0
CICP7	0.0	0.0	0.0	0.0	0.0	0.0
RP4-669L17.8	0.022507829	0.012672149	0.047439908	0.047946282	0.032939091	0.020393986
U6	0.0	0.0	0.0	0.0	0.0	0.0
RP5-857K21.4	0.258840031	0.278787287	0.104367797	0.210963639	0.186654849	0.193742866
RP5-857K21.2	0.0	0.0	0.0	0.009589256	0.0	0.010196993
MTND1P23	0.754012263	0.456197379	0.208735594	0.690426455	0.406248789	0.407879719
MTND2P28	3.443697798	8.731110943	4.003928208	3.058972766	4.16130516	4.150176138
AC114498.1	1.15915318	1.533330078	2.077867956	2.090457878	1.427360609	2.457475305
MTCO1P12	874.0127519	868.5617926	875.7691596	946.7664549	811.3337295	812.4963997
MIR6723	0.0	0.0	0.0	0.0	0.0	0.0
MTCO2P12	2.194513303	0.798345413	1.91657227	2.186350441	0.922294547	1.182851184
MTATP8P1	0.0	0.012672149	0.018975963	0.009589256	0.043918788	0.0
MTATP6P1	8.485451437	8.705766644	3.994440226	3.711042196	6.697615165	5.067905505
MTCO3P12	125.4586374	121.0443712	102.9920396	113.3162419	114.6719554	115.1750356
WBP1LP6	0.011253914	0.0	0.0	0.0	0.0	0.010196993
OR4F16	0.0	0.0	0.0	0.0	0.0	0.0
CICP3	0.157554801	0.202754391	0.265663483	0.220552895	0.274492425	0.132560909
RP11-206L10.2	6.741094709	6.285386107	6.318995702	6.367266196	7.575990924	6.903364239
RNU6-1199P	0.0	0.025344299	0.0	0.0	0.0	0.0
RP11-206L10.4	0.0	0.0	0.009487982	0.0	0.0	0.0
RP11-206L10.9	3.117334281	2.838561468	3.406185371	3.471310788	3.414685765	3.110082855
RP11-206L10.8	0.652727034	0.709640367	0.436447151	0.383570253	0.527025456	0.489455662
FAM87B	1.046614037	0.975755504	0.635694763	0.958925632	0.999152426	0.836153423
LINC01128	31.73603853	30.65392942	26.76559591	26.53347224	30.86392824	29.22458185
LINC00115	1.654325413	1.812117365	1.850156399	1.821958701	1.668913943	2.029201601
FAM41C	0.0	0.050688598	0.047439908	0.038357025	0.0	0.020393986
TUBB8P11	0.0	0.0	0.037951926	0.038357025	0.032939091	0.020393986
FAM166AP3	0.0	0.0	0.018975963	0.0	0.0	0.0
RP11-54O7.16	1.991942844	2.268314744	2.28660355	2.915133921	4.084447281	4.180767117
RP11-54O7.1	9.509557645	9.326701965	10.96810665	13.18522744	20.69672883	18.83384601
RP11-54O7.2	0.067523486	0.139393643	0.113855778	0.124660332	0.208614243	0.193742866
RP11-54O7.3	21.94513303	21.16248951	19.98168911	21.0963639	38.56069584	38.52423943
SAMD11	25.42259257	23.27873846	19.71602563	20.1086705	47.16877828	51.82111826
NOC2L	288.2690167	277.0385304	224.039708	235.4833674	295.0244582	317.8708618
KLHL17	29.82287309	29.15861579	32.84739207	38.28031123	33.89432461	38.97290712
AL645608.1	0.0	0.0	0.0	0.0	0.0	0.0
PLEKHN1	15.62043315	15.0291692	13.16931837	14.77704399	16.0742764	17.33488805
PERM1	5.548179786	5.056187614	3.804680595	4.295986831	4.523635161	5.169875435
RP11-54O7.17	0.945328807	1.089804849	0.910846227	1.083585964	0.724660001	0.785168459
HES4	38.87102024	33.99937686	25.34239868	31.76920619	19.24740883	26.57336367
ISG15	47.66032737	43.63021041	58.05695901	62.65620079	43.89682857	52.56549875
RP11-54O7.10	0.056269572	0.025344299	0.085391834	0.076714051	0.065878182	0.061181958
RP11-54O7.11	0.585203547	0.582918873	0.474399077	0.517819841	0.592903638	0.734183494
AGRN	97.04250364	93.2290032	110.7816724	121.1602536	124.2682106	127.9824587
RP11-54O7.14	0.0	0.0	0.0	0.0	0.0	0.0
RP11-465B22.3	8.87933844	7.780699737	13.72910928	14.3359382	8.728859109	8.810201924
RP11-54O7.18	0.225078287	0.253442988	0.872894301	0.891800838	0.164695455	0.203939859
RNF223	6.27968422	5.816516579	2.267627587	2.521974412	3.14019334	3.446583623
C1orf159	10.46614037	10.21375242	10.28497198	11.47833981	11.6933773	12.52190736
LINC01342	0.0	0.0	0.0	0.0	0.0	0.0
MIR200B	0.202570459	0.278787287	0.398495224	0.373980996	0.296451819	0.214136852
MIR200A	0.202570459	0.342148034	0.332079354	0.383570253	0.340370607	0.285515803
MIR429	0.821535749	0.785673263	1.062653932	1.026050426	0.812497577	1.009502304
RP11-465B22.8	4.636612722	4.371891546	6.24309185	7.019335626	4.49069607	5.618543125
TTLL10-AS1	0.022507829	0.025344299	0.0	0.019178513	0.021959394	0.040787972
TTLL10	0.022507829	0.038016448	0.047439908	0.028767769	0.087837576	0.050984965
TNFRSF18	0.112539144	0.126721494	0.189759631	0.220552895	0.307431516	0.27531881
TNFRSF4	0.067523486	0.050688598	0.218223575	0.220552895	0.021959394	0.010196993
SDF4	267.3479898	246.4479617	205.1870887	224.6283293	206.725735	234.4084743
B3GALT6	97.18880452	92.45600209	76.99497015	83.95393908	86.16866199	91.36505699
FAM132A	0.416394832	0.481541678	0.977262098	0.882211581	0.614863032	0.673001536
RP5-902P8.12	0.135046972	0.228098689	0.284639446	0.278088433	0.186654849	0.183545873
UBE2J2	92.0795274	87.53920812	82.90598265	85.44986306	75.43051833	85.50178603
RP5-902P8.10	1.114137523	1.153165596	1.261901544	1.419209935	1.734792125	1.845655727
SCNN1D	7.596392202	6.944337876	9.241294015	10.38516459	11.57260063	12.37914946
ACAP3	131.434466	124.3011135	133.2112607	159.6994747	124.7183781	134.0088816
MIR6726	0.011253914	0.0	0.018975963	0.009589256	0.010979697	0.020393986
PUSL1	29.84538092	28.76577916	26.23426894	28.57598383	23.25499823	23.68761466
CPSF3L	142.0243994	137.2393781	125.5639476	134.9975505	138.7943497	148.0909289
MIR6727	0.0	0.0	0.0	0.0	0.0	0.0
RP5-890O3.9	4.929214495	4.916793971	4.81989462	5.859035611	4.589513343	4.354115997
CPTP	55.22295783	52.4500264	45.732071	48.55040474	44.70932615	50.11822044
TAS1R3	1.26043841	1.406608584	2.552267033	2.953490946	1.526177882	1.498957966
DVL1	148.3040836	139.6724308	124.5582216	127.6521801	134.1609175	153.4851382
MIR6808	0.0	0.0	0.0	0.0	0.0	0.0
MXRA8	45.09443489	41.15914128	53.0283288	58.22596437	63.1442374	67.37153254
AURKAIP1	126.9216463	120.1193042	128.9985969	136.3016893	128.1879624	151.6802704
RP5-890O3.3	0.033761743	0.088705046	0.066415871	0.057535538	0.0	0.10196993
CCNL2	172.7813474	171.0486727	157.4340776	166.4311327	165.9251809	163.6311462
RP4-758J18.2	48.72944923	45.91119731	45.48538348	47.2654444	45.21439221	50.00605351
MRPL20	148.0564975	140.7622356	130.8772173	132.5235223	144.3610561	157.1764496
RN7SL657P	0.0	0.0	0.0	0.0	0.0	0.0
RP4-758J18.13	5.334355413	5.208253407	6.878786613	7.143995958	6.653696377	6.740212352
ANKRD65	1.541786269	1.267214941	0.284639446	0.153428101	1.723812428	2.008807615
RP4-758J18.7	0.101285229	0.101377195	0.0	0.047946282	0.153715758	0.17334888
TMEM88B	0.0	0.012672149	0.009487982	0.0	0.010979697	0.010196993
RP4-758J18.10	4.591597064	4.2831865	4.848358564	4.746681878	5.149477889	5.445194245
VWA1	76.90925082	70.62188865	54.44203805	60.40272556	86.84940321	100.3791988
ATAD3C	0.461410489	0.532230275	0.721086597	0.882211581	0.570944244	0.520046641
ATAD3B	53.0847141	50.21972811	39.59334694	45.5969138	46.12570706	49.62876477
ATAD3A	62.65054131	58.82411756	48.41716977	52.8847486	58.62060224	68.2994589
TMEM240	1.102883609	1.267214941	0.749550541	1.035639682	0.955233638	0.744380487
SSU72	185.5883019	177.3213867	135.0234652	141.4798877	163.7292415	176.2958114
RP5-832C2.5	3.13984211	2.965282962	2.979226202	2.972669459	3.535462431	3.344613693
AL645728.1	0.0	0.0	0.0	0.0	0.0	0.0
RP11-345P4.11	0.0	0.0	0.0	0.0	0.0	0.0
Metazoa_SRP	0.0	0.0	0.0	0.009589256	0.0	0.0
C1orf233	35.13472067	32.75750622	31.98398575	36.03642525	46.57587464	53.33027322
RP11-345P4.9	21.81008605	20.82034148	19.97220113	20.47306224	23.23303884	25.13558767
MIB2	44.20537566	39.80322129	47.02243649	51.55184197	40.92133069	43.7960848
MMP23B	0.056269572	0.076032896	0.075903852	0.249320664	0.032939091	0.071378951
CDK11B	35.10095893	33.70791743	35.07706773	40.56255423	36.89178189	41.59353432
RP11-345P4.10	0.101285229	0.126721494	0.104367797	0.10548182	0.153715758	0.10196993
SLC35E2B	146.5034573	139.266922	128.9037171	130.6440281	136.2909788	130.6234799
RP11-345P4.7	1.733102813	2.090904652	2.030428048	2.243885979	2.250837883	1.835458734
RP11-345P4.6	0.686488777	0.63360747	0.768526504	0.719194224	0.702700607	0.540440627
MMP23A	0.787774006	0.012672149	0.189759631	0.479462816	0.581923941	0.367091747
CDK11A	4.186456147	3.966382765	4.231639765	4.832985185	4.699310313	4.46628292
RP1-283E3.8	3.331158654	2.914594364	3.27335363	3.030204997	3.689178189	3.212052785
RP1-283E3.4	6.63980948	6.082631716	6.36643561	6.731657936	6.884270014	6.475090535
SLC35E2	4.872944923	4.967482568	5.313269659	5.350805026	6.005894255	5.057708512
NADK	134.844402	127.139675	91.28387035	95.42268963	120.809606	129.4304317
GNB1	645.5695441	625.9028036	533.4902257	531.8968695	639.2050198	642.0944502
RP1-140A9.1	3.770061315	3.560873984	3.330281519	3.59597112	3.217051219	3.701508447
CALML6	0.956582722	0.811017562	1.081629895	1.256192578	0.845436668	1.182851184
TMEM52	20.21203021	19.2109785	14.92459495	16.74284153	17.99572337	21.3117153
CFAP74	0.078777401	0.139393643	0.151807705	0.220552895	0.054898485	0.030590979
RP11-547D24.1	0.0	0.0	0.0	0.0	0.0	0.0
GABRD	0.213824373	0.202754391	0.208735594	0.201374383	0.713680304	0.601622585
RP11-547D24.3	0.202570459	0.164737942	0.237199538	0.278088433	0.230573637	0.295712796
PRKCZ	39.67004816	38.40928486	34.90628407	35.278874	36.07928432	38.46305747
RP5-892K4.1	0.675234862	0.620935321	0.578766874	0.700015711	0.823477274	0.774971466
RP11-181G12.2	2.937271651	2.952610812	4.69655086	4.50695047	3.777015765	3.956433272
FAAP20	93.22742666	87.99540549	82.23233596	85.78548703	71.70840105	80.55624445
RP11-181G12.4	0.011253914	0.063360747	0.028463945	0.076714051	0.076857879	0.030590979
AL590822.1	0.0	0.0	0.0	0.0	0.0	0.020393986
SKI	132.1997321	125.352902	90.57227173	93.09250035	122.9616266	121.9662329
MORN1	17.93873951	16.84128656	21.86030946	21.73884408	17.31498216	18.34439035
RP4-713A8.1	0.022507829	0.038016448	0.12334376	0.115071076	0.043918788	0.010196993
RP4-740C4.5	5.244324098	5.195581258	8.026832378	8.275528204	5.555726678	6.362923612
RP4-740C4.7	0.258840031	0.278787287	0.37003128	0.46987356	0.241553334	0.203939859
RER1	181.5481467	182.2381806	148.9043822	158.8652094	138.7284715	143.8081918
PEX10	414.5379359	400.6806922	88.25720424	92.06644992	81.3815141	90.09043287
PLCH2	7.067458226	6.957010025	3.785704632	3.998719885	4.106406675	3.834069356
RP3-395M20.2	0.281347859	0.177410092	0.12334376	0.124660332	0.142736061	0.10196993
RP3-395M20.3	0.168808716	0.190082241	0.142319723	0.143838845	0.120776667	0.142757902
PANK4	35.4723381	34.3668692	26.19631702	26.84032844	38.3411019	39.12586202
HES5	0.0	0.0	0.0	0.047946282	0.043918788	0.030590979
RP3-395M20.12	19.12040052	16.33440059	15.81646522	16.28255723	16.82089579	20.10847013
RP3-395M20.8	0.562695719	0.468869528	0.540814947	0.479462816	0.735639698	0.622016571
TNFRSF14	3.871346544	3.712939777	0.426959169	0.479462816	3.798975159	3.701508447
RP3-395M20.7	0.056269572	0.025344299	0.056927889	0.028767769	0.032939091	0.061181958
RP3-395M20.9	0.382633089	0.316803735	0.597742837	0.575355379	0.340370607	0.37728874
FAM213B	52.98342887	51.74038604	41.24425573	43.17083195	70.25908105	75.81464272
MMEL1	9.093162813	8.908521034	2.912810331	3.41377525	4.402858494	4.91495061
RP13-436F16.1	0.0	0.0	0.009487982	0.0	0.0	0.0
TTC34	1.969435015	1.799445216	1.385245304	1.505513242	2.755903945	2.753188101
RP11-740P5.2	0.0	0.0	0.0	0.0	0.0	0.0
RP11-740P5.3	0.011253914	0.0	0.037951926	0.047946282	0.0	0.0
ACTRT2	0.011253914	0.0	0.0	0.0	0.0	0.0
LINC00982	0.0	0.0	0.0	0.0	0.0	0.010196993
PRDM16	0.078777401	0.088705046	0.151807705	0.163017357	0.054898485	0.10196993
RP1-163G9.2	0.0	0.0	0.0	0.0	0.0	0.0
RP11-193J6.1	0.0	0.0	0.0	0.009589256	0.0	0.0
RP11-22L13.1	0.0	0.0	0.0	0.0	0.0	0.0
ARHGEF16	62.33543171	59.11557699	47.71505914	51.22580726	47.77266161	54.87001916
RP11-168F9.2	0.213824373	0.164737942	0.218223575	0.153428101	0.153715758	0.193742866
MEGF6	8.552974923	7.71733899	3.358745463	4.046666167	3.228030916	3.048900897
MIR551A	0.0	0.0	0.0	0.0	0.0	0.0
RP11-46F15.2	0.393887003	0.494213827	0.607230818	0.690426455	0.505066062	0.611819578
TPRG1L	76.32404728	74.53758282	62.98122143	63.15484212	58.00573921	61.12077585
WRAP73	29.93541223	27.43520347	27.22101902	30.30204997	28.119004	27.9805487
TP73	5.154292783	4.878777522	6.480291388	5.859035611	7.279539106	7.025728155
RP5-1092A11.5	0.438902661	0.456197379	0.407983206	0.575355379	0.516045759	0.662804543
RP5-1092A11.2	0.078777401	0.101377195	0.170783668	0.172606614	0.142736061	0.163151887
TP73-AS1	53.09596801	50.90402417	56.14987472	58.48487429	56.9407086	55.46144475
CCDC27	0.573949633	0.41818093	0.474399077	0.479462816	0.362330001	0.509849648
SMIM1	3.353666483	3.370791743	5.028630213	5.005591799	2.195939398	2.559445235
LRRC47	109.3655399	104.0383466	90.67663953	93.67744498	103.0444563	109.0364458
RN7SL574P	0.146300887	0.266115138	0.256175501	0.268499177	0.241553334	0.203939859
RP1-286D6.5	2.41959159	2.395036238	2.210699698	2.406903336	1.910467277	2.019004608
CEP104	81.33203917	79.53040969	58.39852635	60.38354704	62.81484649	60.97801795
DFFB	16.03682798	15.19390714	13.52037369	13.15645967	17.79808882	17.42666098
C1orf174	24.45475593	25.00215078	22.02160514	24.48137138	23.48557187	25.31913354
LINC01134	1.721848899	1.72341232	1.375757323	1.27537109	2.26181758	2.273929432
LINC01346	0.0	0.0	0.0	0.0	0.0	0.0
RP13-614K11.2	0.0	0.0	0.0	0.0	0.0	0.0
EEF1DP6	0.0	0.0	0.0	0.0	0.0	0.0
RP5-1166F10.1	0.090031315	0.038016448	0.066415871	0.10548182	0.043918788	0.040787972
RP1-37J18.1	0.0	0.0	0.0	0.0	0.0	0.0
RP1-37J18.2	0.0	0.0	0.0	0.0	0.0	0.0
AJAP1	0.011253914	0.0	0.018975963	0.047946282	0.0	0.0
AL137795.1	0.0	0.0	0.0	0.0	0.0	0.0
RP11-542C10.1	0.0	0.0	0.0	0.0	0.0	0.0
RP1-58B11.1	0.0	0.0	0.009487982	0.009589256	0.0	0.0
MIR4417	0.0	0.0	0.0	0.0	0.0	0.0
RP11-154H17.1	0.0	0.0	0.0	0.0	0.0	0.010196993
AL356693.1	0.0	0.0	0.0	0.0	0.0	0.0
MIR4689	0.0	0.012672149	0.0	0.009589256	0.0	0.0
NPHP4	21.94513303	20.32612765	27.10716324	28.68146565	20.94926186	20.43477391
AL356261.1	0.0	0.0	0.0	0.0	0.0	0.0
