GeneSymbol	VCaP_R1881-33	VCaP_R1881-13	VCaP_Dox-13	VCaP_Dox-32	VCaP_Vehicle-31	VCaP_Vehicle-13
DDX11L1	0.613361113	0.83451181	0.362025983	0.681690895	0.259347656	0.904536464
WASH7P	3.680166678	2.879065744	2.741053872	3.544792655	4.10633789	5.799674978
MIR6859-1	0.0	0.083451181	0.258589988	0.0	0.0	0.159624082
RP11-34P13.3	0.0	0.0	0.0	0.0	0.0	0.0
MIR1302-2	0.0	0.0	0.0	0.0	0.0	0.0
FAM138A	0.0	0.0	0.0	0.0	0.0	0.0
OR4G4P	0.0	0.0	0.0	0.0	0.0	0.0
OR4G11P	0.0	0.0	0.0	0.0	0.0	0.0
OR4F5	0.0	0.0	0.0	0.0	0.0	0.0
RP11-34P13.7	0.0	0.0	0.0	0.0	0.043224609	0.053208027
RP11-34P13.8	0.0	0.0	0.0	0.0	0.0	0.0
CICP27	0.0	0.0	0.0	0.0	0.0	0.0
RP11-34P13.15	0.0	0.083451181	0.103435995	0.0	0.043224609	0.053208027
RP11-34P13.16	0.111520202	0.04172559	0.051717998	0.06816909	0.172898437	0.319248164
RP11-34P13.14	0.0	0.0	0.0	0.0	0.0	0.0
RP11-34P13.13	0.0	0.166902362	0.0	0.06816909	0.259347656	0.106416055
RNU6-1100P	0.0	0.0	0.0	0.0	0.0	0.0
RP11-34P13.9	0.0	0.0	0.0	0.0	0.0	0.0
FO538757.3	0.055760101	0.083451181	0.103435995	0.0	0.043224609	0.0
FO538757.2	0.501840911	0.375530314	0.362025983	0.613521806	0.907716797	0.266040137
AP006222.2	1.338242428	0.417255905	0.620615971	0.749859985	0.864492187	1.330200683
RPL23AP21	0.0	0.0	0.0	0.0	0.0	0.0
RPL23AP24	0.0	0.0	0.0	0.0	0.0	0.0
RP5-857K21.15	0.0	0.0	0.0	0.0	0.0	0.0
RP4-669L17.2	0.0	0.0	0.0	0.0	0.0	0.0
RP4-669L17.10	0.0	0.04172559	0.0	0.0	0.043224609	0.0
WBP1LP7	0.0	0.0	0.0	0.0	0.0	0.0
OR4F29	0.0	0.0	0.0	0.0	0.0	0.0
SEPT14P13	0.0	0.0	0.0	0.0	0.0	0.0
CICP7	0.0	0.0	0.0	0.0	0.0	0.0
RP4-669L17.8	0.0	0.04172559	0.0	0.0	0.043224609	0.0
U6	0.0	0.0	0.0	0.0	0.0	0.0
RP5-857K21.4	0.055760101	0.04172559	0.20687199	0.06816909	0.086449219	0.053208027
RP5-857K21.2	0.0	0.0	0.0	0.0	0.0	0.0
MTND1P23	0.390320708	1.043139762	1.137795947	0.613521806	0.561919922	1.117368574
MTND2P28	5.297209613	8.011313376	8.585187599	8.589305278	7.304958984	7.183083689
AC114498.1	0.278800506	0.375530314	0.724051966	0.681690895	0.994166016	0.744912383
MTCO1P12	23.25196219	54.70224915	57.30354132	33.33468477	51.91275585	47.46156037
MIR6723	0.0	0.0	0.0	0.0	0.0	0.0
MTCO2P12	1.951603541	3.254596059	3.516823836	2.863101759	2.636701172	2.766817421
MTATP8P1	0.055760101	0.292079133	0.258589988	0.136338179	0.129673828	0.266040137
MTATP6P1	2.286164149	5.84158267	5.637261737	4.703667176	4.063113281	6.065715115
MTCO3P12	216.4607128	440.5805101	443.5335473	291.0138431	298.8549492	384.9600777
WBP1LP6	0.0	0.0	0.0	0.0	0.0	0.0
OR4F16	0.0	0.0	0.0	0.0	0.0	0.0
CICP3	0.0	0.125176771	0.362025983	0.06816909	0.345796875	0.532080273
RP11-206L10.2	4.851128803	5.340875584	8.274879614	5.794372608	8.601697265	8.087620153
RNU6-1199P	0.0	0.0	0.0	0.0	0.0	0.0
RP11-206L10.4	0.0	0.0	0.0	0.0	0.0	0.0
RP11-206L10.9	1.338242428	1.418670077	1.189513944	1.908734506	1.210289062	1.330200683
RP11-206L10.8	1.226722226	1.210042124	1.70669392	1.499719969	1.858658203	2.021905038
FAM87B	0.724881315	0.417255905	0.465461978	0.954367253	0.518695312	0.372456191
LINC01128	44.71960115	55.20295623	44.32232393	44.92342999	61.42216992	52.72915508
LINC00115	0.780641417	0.83451181	0.930923957	0.477183627	0.994166016	0.478872246
FAM41C	0.0	0.04172559	0.103435995	0.0	0.0	0.053208027
TUBB8P11	0.055760101	0.083451181	0.155153993	0.0	0.086449219	0.053208027
FAM166AP3	0.0	0.0	0.051717998	0.0	0.0	0.0
RP11-54O7.16	0.669121214	0.709335038	2.947925862	0.954367253	1.901882812	2.820025448
RP11-54O7.1	3.903207083	5.632954717	13.18808938	6.816908951	13.78865039	17.98431324
RP11-54O7.2	0.055760101	0.083451181	0.258589988	0.272676358	0.259347656	0.266040137
RP11-54O7.3	21.35611875	41.18315782	36.97836827	22.35946136	40.41500976	48.84496908
SAMD11	19.12571471	38.84652476	33.61669843	19.63269778	39.89631445	50.92008215
NOC2L	217.4643946	227.8217241	225.8524955	229.3208171	240.7178496	211.1294524
KLHL17	8.977376291	10.9738303	14.58447532	12.88395792	10.02810937	9.630652945
AL645608.1	0.0	0.0	0.0	0.0	0.0	0.0
PLEKHN1	4.851128803	7.176801566	9.050649577	5.726203519	10.63325391	10.64160546
PERM1	2.007363643	2.211456296	2.79277187	2.79493267	3.501193359	3.086065585
RP11-54O7.17	2.286164149	2.670437792	3.413387841	2.317749043	1.3831875	1.223784628
HES4	62.11675272	62.88046488	25.03151083	25.90425401	13.831875	8.672908454
ISG15	14.44186621	17.60819919	9.671265548	9.543672532	3.717316406	4.416266268
RP11-54O7.10	0.0	0.0	0.051717998	0.0	0.0	0.0
RP11-54O7.11	0.278800506	0.375530314	0.258589988	0.136338179	0.172898437	0.053208027
AGRN	296.1976575	342.4419212	345.7865319	269.4042417	290.685498	269.9243226
RP11-54O7.14	0.0	0.0	0.0	0.0	0.0	0.0
RP11-465B22.3	2.230404047	2.378358658	4.396029795	4.090145371	3.803765625	3.298897694
RP11-54O7.18	0.167280304	0.166902362	0.155153993	0.204507269	0.216123047	0.212832109
RNF223	0.557601012	0.792786219	0.775769964	0.409014537	1.037390625	0.532080273
C1orf159	21.02155815	19.90310667	22.44561095	19.01917597	16.72792383	13.88729513
LINC01342	0.0	0.0	0.0	0.0	0.0	0.0
MIR200B	0.278800506	0.166902362	0.20687199	0.136338179	0.172898437	0.053208027
MIR200A	0.055760101	0.04172559	0.155153993	0.06816909	0.086449219	0.212832109
MIR429	0.167280304	0.208627952	0.362025983	0.272676358	0.129673828	0.425664219
RP11-465B22.8	1.170962125	1.794200391	2.947925862	1.840565417	1.123839844	1.702656874
TTLL10-AS1	0.0	0.125176771	0.051717998	0.06816909	0.0	0.053208027
TTLL10	0.223040405	0.083451181	0.155153993	0.204507269	0.216123047	0.319248164
TNFRSF18	5.799050523	5.966759441	10.91249749	13.49747972	24.85415039	11.38651785
TNFRSF4	0.0	0.0	0.0	0.0	0.043224609	0.106416055
SDF4	297.4243797	278.9772981	228.6452673	234.9788515	175.491914	147.7586919
B3GALT6	95.79585384	99.2651798	90.40305978	82.07558377	90.12331054	83.64301895
FAM132A	0.390320708	0.417255905	0.517179976	0.545352716	0.518695312	0.79812041
RP5-902P8.12	0.055760101	0.250353543	0.103435995	0.06816909	0.172898437	0.319248164
UBE2J2	136.1661671	145.7474876	103.2808412	103.6851851	89.21559374	85.13284372
RP5-902P8.10	0.334560607	0.417255905	0.879205959	0.681690895	0.778042969	0.744912383
SCNN1D	3.011045464	4.297735821	9.257521568	5.112681713	7.175285156	9.524236891
ACAP3	62.50707343	90.41935461	101.6258653	66.19218592	51.78308203	56.87938121
MIR6726	0.0	0.0	0.0	0.0	0.0	0.0
PUSL1	28.4376516	34.34016098	26.27274277	29.2445394	15.17183789	11.91859812
CPSF3L	137.3371292	149.4193396	154.0161968	145.6773443	142.7276601	125.3581124
MIR6727	0.0	0.0	0.0	0.0	0.0	0.0
RP5-890O3.9	2.564964655	3.045968106	2.947925862	1.908734506	1.210289062	1.702656874
CPTP	64.73747748	75.73194676	55.80371939	56.23949885	40.24211132	30.32857557
