sample,fastq_1,fastq_2,strandedness
LNCaP_veh_1,SRR10913250_GSM4276548_LNCaP_Veh_RNA-seq1_Homo_sapiens_RNA-Seq_1.fastq.gz,SRR10913250_GSM4276548_LNCaP_Veh_RNA-seq1_Homo_sapiens_RNA-Seq_2.fastq.gz,forward
LNCaP_veh_2,SRR10913251_GSM4276549_LNCaP_Veh_RNA-seq2_Homo_sapiens_RNA-Seq_1.fastq.gz,SRR10913251_GSM4276549_LNCaP_Veh_RNA-seq2_Homo_sapiens_RNA-Seq_2.fastq.gz,forward
LNCaP_dox_1,SRR10913252_GSM4276550_LNCaP_Dox_RNA-seq1_Homo_sapiens_RNA-Seq_1.fastq.gz,SRR10913252_GSM4276550_LNCaP_Dox_RNA-seq1_Homo_sapiens_RNA-Seq_2.fastq.gz,forward
LNCaP_dox_2,SRR10913253_GSM4276551_LNCaP_Dox_RNA-seq2_Homo_sapiens_RNA-Seq_1.fastq.gz,SRR10913253_GSM4276551_LNCaP_Dox_RNA-seq2_Homo_sapiens_RNA-Seq_2.fastq.gz,forward
LNCaP_R1881_1,SRR10913254_GSM4276552_LNCaP_R1881_RNA-seq1_Homo_sapiens_RNA-Seq_1.fastq.gz,SRR10913254_GSM4276552_LNCaP_R1881_RNA-seq1_Homo_sapiens_RNA-Seq_2.fastq.gz,forward
LNCaP_R1881_2,SRR10913255_GSM4276553_LNCaP_R1881_RNA-seq2_Homo_sapiens_RNA-Seq_1.fastq.gz,SRR10913255_GSM4276553_LNCaP_R1881_RNA-seq2_Homo_sapiens_RNA-Seq_2.fastq.gz,forward
VCap_veh_1,SRR10913256_GSM4276554_VCaP_Veh13_RNA-seq1_Homo_sapiens_RNA-Seq_1.fastq.gz,SRR10913256_GSM4276554_VCaP_Veh13_RNA-seq1_Homo_sapiens_RNA-Seq_2.fastq.gz,forward
VCaP_veh_2,SRR10913245_GSM4276555_VCaP_Veh31_RNA-seq2_Homo_sapiens_RNA-Seq_1.fastq.gz,SRR10913245_GSM4276555_VCaP_Veh31_RNA-seq2_Homo_sapiens_RNA-Seq_2.fastq.gz,forward
VCaP_dox_1,SRR10913246_GSM4276556_VCaP_Dox13_RNA-seq1_Homo_sapiens_RNA-Seq_1.fastq.gz,SRR10913246_GSM4276556_VCaP_Dox13_RNA-seq1_Homo_sapiens_RNA-Seq_2.fastq.gz,forward
VCaP_dox_2,SRR10913247_GSM4276557_VCaP_Dox31_RNA-seq2_Homo_sapiens_RNA-Seq_1.fastq.gz,SRR10913247_GSM4276557_VCaP_Dox31_RNA-seq2_Homo_sapiens_RNA-Seq_2.fastq.gz,forward
VCaP_R1881_1,SRR10913248_GSM4276558_VCaP_R1881-13_RNA-seq1_Homo_sapiens_RNA-Seq_1.fastq.gz,SRR10913248_GSM4276558_VCaP_R1881-13_RNA-seq1_Homo_sapiens_RNA-Seq_2.fastq.gz,forward
VCaP_R1881_2,SRR10913249_GSM4276559_VCaP_R1881-31_RNA-seq2_Homo_sapiens_RNA-Seq_1.fastq.gz,SRR10913249_GSM4276559_VCaP_R1881-31_RNA-seq2_Homo_sapiens_RNA-Seq_2.fastq.gz,forward
